ID,SpentAmount,Description,EventID
119,2610.84,Choice street sea marriage win difficult image bill.,231
120,3118.94,North head effort tend.,18
121,3892.25,Huge deal everybody describe way.,961
122,1290.5,Without machine nearly.,242
123,3850.66,Common throw charge weight people every.,788
124,911.6,Million itself dark full energy several.,618
125,4277.82,Under suggest tough people sign responsibility nor.,998
126,4730.11,Water argue if front stock industry.,661
127,2929.29,According nearly floor case it bed along.,197
128,3343.76,House spend will good culture.,962
129,4709.76,Hear according figure even ten suffer.,829
130,3096.42,Product her big water.,992
131,928.66,Discussion child prevent social.,174
132,666.9,Animal southern onto instead picture picture local.,860
133,3278.79,Long new east situation heavy.,817
134,607.64,Determine per car drug center little.,263
135,1762.56,Way which difficult dream piece.,304
136,4540.7,Such debate seat mission expert.,483
137,2805.88,Help American history stop president.,597
138,3786.86,Evening marriage as health.,997
139,3641.8,Break ever yet training begin.,671
140,4820.37,Around capital community result we.,86
141,3524.32,Avoid yourself box.,858
142,3683.31,Gas hotel billion still staff put town.,478
143,3040.67,Box bank enjoy high.,411
144,592.24,Talk deep throw feel.,725
145,4247.6,Difference subject here today company his expect nice.,604
146,2587.73,Our administration ask.,303
147,3563.73,Guess enter difficult fact mind.,729
148,4401.91,Foreign behind none item hear lose attack.,32
149,2170.4,Difficult suffer chair statement.,468
150,2765.7,Job mean offer their kitchen.,700
151,4326.93,Evening sell relate resource suddenly improve.,376
152,3926.13,Clear remain teach treatment level.,350
153,2181.8,Hit general she for need.,56
154,2867.47,Talk tend strategy big democratic.,556
155,4950.84,Artist listen goal agree answer where analysis.,665
156,3913.46,You contain crime.,237
157,1002.76,Point measure beat add space.,533
158,2777.51,Protect bag practice.,324
159,816.31,Affect game board case.,524
160,2258.8,Despite doctor public often establish many.,621
161,4532.82,Where them color guy west account yet.,189
162,1909.68,Body full stand.,227
163,4212.85,Lot claim Republican rise current law smile.,65
164,1156.42,Sister out watch always offer forget.,280
165,379.92,Society happen style prepare talk tend just.,846
166,1367.52,Like system daughter.,65
167,3907.07,Pay visit wish age couple generation.,687
168,1524.6,Course within business professor between word.,390
169,2335.23,Information action democratic yard threat.,88
170,3134.31,Face environment education step.,41
171,2989.18,Enough claim at camera.,247
172,4779.39,Behind walk church mean until town.,173
173,1360.03,Son direction others leader country other fill.,994
174,1824.87,Whether send three to.,995
175,2360.64,Responsibility left employee option even store.,556
176,531.34,Soon prepare keep long authority.,437
177,4542.41,House away address fight.,496
178,3689.69,Everything own office fall work member.,158
179,1471.11,Where skin from size threat wear.,330
180,3461.74,Well pretty win visit describe since notice young.,594
181,2013.21,Shoulder never notice military price learn series.,800
182,1412.18,Kid manager beat add address.,71
183,2819.11,Stuff news physical source dinner.,742
184,410.56,Month us director.,114
185,2977.26,Any throughout investment.,665
186,1813.52,Message financial PM add still.,919
187,3434.51,Large from floor many.,482
188,406.44,Born rather good.,638
189,4292.63,President most subject expert.,92
190,3136.71,Whether understand matter build model environmental if.,300
191,2376.82,Business even produce require natural probably.,73
192,2799.13,Attack do research according.,557
193,1351.13,Certain she whatever might ok go.,935
194,1971.53,Interesting lawyer including capital.,538
195,2130.23,Subject once source attorney nature son money.,617
196,2438.66,Shoulder ok yard choose voice fact performance.,729
197,1366.07,Thousand yeah with attention source open sport.,398
198,3453.53,Word forward wide likely.,254
199,1373.97,Really like camera position site shake.,855
200,2379.71,Stop price mother season force interest crime.,324
201,1312.84,Rate feel happen building may ahead company.,741
202,2098.42,Go billion ahead half.,613
203,3342.51,Page role lawyer others mind.,696
204,339.39,Energy PM Mrs term open rock maintain feel.,922
205,4714.77,Financial finish range finally city between.,884
206,1148.6,Character increase realize amount military black.,397
207,3638.93,Close music break catch.,323
208,294.92,Turn senior not.,837
209,4531.38,Foreign reflect water leg.,965
210,1500.06,Head girl few lawyer police.,231
211,3132.96,Attorney marriage everyone rather reality suggest.,29
212,2042.6,Treat blue us like a Republican.,760
213,4129.95,Identify every themselves improve what.,718
214,4559.21,Ball eye require far sing hand.,441
215,3600.58,Picture condition character test debate move.,331
216,1953.64,Mother own rest concern bad though civil.,655
217,1673.03,Ten key size manage might machine maybe.,795
218,4421.33,Pick skin wait open.,11
219,2190.99,Hear structure dream industry more organization each.,828
220,113.48,End pattern road firm interest.,571
221,4545.56,Painting suggest soon.,318
222,1029.67,Management meet professional possible enough run mouth single.,406
223,3534.15,Also discover two carry player music off.,231
224,2734.61,Matter course green.,760
225,469.9,Night someone write somebody bad push represent.,568
226,4960.21,Last him land follow to meeting.,162
227,350.71,Operation responsibility lawyer agreement.,396
228,3666.09,Partner couple finally real reflect security stuff certainly.,352
229,4213.27,More hope perhaps phone discuss game big subject.,618
230,2558.73,Bar there issue dream left.,356
231,1813.47,Performance stuff accept heart political.,138
232,2137.33,Industry treatment dark future pass kid.,81
233,1354.35,Mention consider seek fish parent memory.,408
234,666.83,Likely star really plan speak soldier.,558
235,3960.32,Song hospital recent these continue quality.,717
236,3964.45,Page leave never training evidence produce senior.,371
237,3941.57,Paper discover she executive wall until wall.,124
238,1818.05,Use south right.,923
239,907.99,Seek society smile American.,951
240,656.64,Think window south.,969
241,3175.96,Particular apply site process.,36
242,1424.67,Back detail call that town.,671
243,1039.88,Current cut player.,567
244,4653.66,Each personal television others actually sometimes agreement.,918
245,2645.85,Author just report condition city seem network in.,556
246,547.27,Short begin about whole someone daughter.,877
247,3901.36,Serious interest before avoid.,42
248,1443.51,Listen oil deal.,978
249,1307.59,Decision get cause sell little month radio about.,542
250,3696.57,According we lead car improve something two.,234
251,4385.11,Own model art night after use goal.,879
252,993.66,Girl police everybody enough.,865
253,4936.86,Sound it if can.,964
254,852.4,Artist data range test rich more.,474
255,4394.0,Unit serious occur mission land total.,223
256,1161.18,Blue attorney town establish.,454
257,272.69,Section energy probably firm face.,646
258,1860.47,Environment talk majority everything front fast role.,381
259,1608.6,Law hope matter worker.,64
260,3670.15,House responsibility your eight purpose cultural court wear.,904
261,1466.53,Direction theory letter west himself fish.,573
262,2038.19,Good four the case.,195
263,1910.68,Father avoid read improve local.,74
264,4522.57,Rich operation general which hear seat meeting investment.,115
265,161.17,Wear now man number mouth political wall large.,779
266,2636.83,Summer design key American enter force issue.,840
267,2426.55,I hit quality guy soon on.,888
268,1630.47,Center a paper newspaper toward.,743
269,2202.09,Beat probably away apply stock stay walk.,261
270,2352.34,Operation individual still tell.,837
271,4053.72,Successful central today.,786
272,4348.41,Body alone tough education table kitchen.,808
273,3126.18,Visit attorney political beautiful.,833
274,760.38,Head hair pretty must.,313
275,3210.01,Least himself investment.,409
276,1951.77,Difficult part piece performance later institution explain.,931
277,1493.89,Economic politics year growth mouth face possible.,234
278,2998.13,Dog center recently tough source.,671
279,3834.33,Teacher must determine.,709
280,2739.77,Skill process thing.,734
281,2944.98,Nor land outside before along church.,686
282,2335.34,Toward Republican bring buy weight.,644
283,4137.18,Occur himself where smile decision.,956
284,2970.99,Success teach on hope hundred PM ahead.,28
285,3033.02,Effort agreement hospital strong life his series decade.,695
286,439.74,Charge west decision every.,213
287,2915.92,Reality drive human cut rate however.,294
288,4050.2,Expert when often church safe everything party.,972
289,1342.54,Decide brother Republican specific difference full later.,760
290,3536.42,Start right into figure machine fire base.,422
291,1791.23,Wife range miss just when example order car.,360
292,667.16,Rather size successful air spend also time decision.,724
293,1290.75,Recognize at western alone organization standard party.,49
294,4485.66,Civil arrive city sure Republican him go.,681
295,553.01,Pattern idea finish despite speak phone.,414
296,1593.03,As quickly war bit cell perform fast.,540
297,1535.24,Husband head heart another old.,654
298,1156.14,School system student chair.,663
299,1793.08,Admit project measure hour myself.,292
300,1012.35,Current foot fire money join let.,419
301,3254.06,Management piece without conference growth.,292
302,1540.27,Kind occur land example these crime.,347
303,1912.25,Customer why another tough front along how.,964
304,904.23,Change moment away maybe way improve task.,683
305,3172.69,Everybody throughout read employee thought program weight.,299
306,1957.15,Land relationship skill world court difference administration.,168
307,4119.5,Treatment economy position very court.,177
308,1664.69,Mrs race modern situation environmental.,604
309,2318.3,Strong book she change direction area us rich.,794
310,4312.33,Movie four shoulder visit subject low data note.,705
311,4505.59,People whose person hand who.,647
312,2137.52,Form forget draw himself from.,126
313,1835.43,Lot become range peace material if.,48
314,1851.45,Relationship night finally stuff.,197
315,4502.35,Attack to daughter face.,772
316,3073.56,You teacher church minute or those.,975
317,4809.95,Book support region need resource computer.,512
318,1112.72,By American leave Congress near prepare.,988
319,4648.4,Argue there matter activity open evidence raise.,87
320,3311.9,Wonder community analysis international involve cover hand.,465
321,3311.81,Part too response.,448
322,1886.44,Fine camera card represent development.,943
323,1231.35,See nice produce coach.,824
324,2326.67,Sort writer result information up.,4
325,4130.85,Traditional left need whom hour.,837
326,1838.91,His church keep off affect across.,856
327,4207.17,Describe relationship money good camera bring daughter.,587
328,4072.6,Value offer though none company cup.,989
329,4436.6,Southern once western.,810
330,450.5,Usually three write claim place dinner.,407
331,291.58,Series score improve must month.,378
332,1722.91,Design pass eye movement main so.,773
333,2823.04,Hospital final son late method future fire.,588
334,2271.87,Government company boy beat.,794
335,2030.69,Someone station relationship visit PM little body.,785
336,2737.07,Never respond live radio arrive set cause.,573
337,1419.29,No also his economy.,166
338,268.76,Admit assume floor according fund however enjoy.,757
339,2149.18,Baby choice break.,36
340,4736.94,Very red again fear.,73
341,4342.85,Magazine record poor voice adult.,88
342,2101.28,Past gas possible miss.,806
343,4389.09,Recent state to worker act number worry.,605
344,192.6,Treatment major make.,158
345,4543.92,Your should spring leave place.,688
346,3669.63,Purpose painting half can range watch through former.,736
347,1889.75,Health prove former nothing civil worry coach.,357
348,1151.01,Behavior opportunity rise unit behavior use whatever.,91
349,2826.56,Produce entire want wrong activity anything toward.,309
350,2021.47,Hundred reveal as source member service.,57
351,407.96,Within history agreement hand fill respond right.,544
352,3580.55,Claim possible if finally.,875
353,358.62,Author guy imagine half conference although second.,268
354,1819.33,Significant away account rest worker myself social state.,817
355,4321.44,Else image property cup teacher.,89
356,761.35,Reason economy pay near law.,416
357,778.23,Together class institution car.,894
358,668.75,Lot positive language most visit adult.,619
359,648.62,Sure my stop might street home rather.,647
360,2900.16,Your maintain stay commercial reality easy attack.,540
361,2160.59,Least film reflect crime above hundred every eye.,273
362,3156.13,Table always for few green.,657
363,386.63,Money sign investment network bring west pick.,758
364,294.76,Mission against within scene government political.,117
365,425.41,Likely fear detail blue physical nearly although.,516
366,1938.95,Operation air late report set boy such.,258
367,440.24,Increase buy must example hear local green military.,268
368,1563.6,Social opportunity unit.,954
369,4209.37,Information catch mother wait.,273
370,2592.73,Plant official fly identify budget.,300
371,866.62,Appear PM team medical present more upon.,431
372,2617.33,Finally project decide start seek by fear cup.,819
373,396.84,Every new control sing firm.,659
374,694.97,Social national collection hard special instead.,686
375,1859.58,Travel and consider research.,730
376,3597.22,Fish color catch result policy measure front.,275
377,3163.31,Financial in no.,54
378,3560.84,Accept attack join watch condition statement.,393
379,3251.3,Place read one.,152
380,2278.31,Cover new food.,572
381,3837.2,Wife vote opportunity.,369
382,2854.99,Power member ok our.,801
383,1816.36,Suddenly program movement region response stuff.,611
384,474.67,Four people most movie.,645
385,3628.15,Participant system job team establish class.,447
386,3356.87,Give paper interview.,818
387,3959.74,Community we poor behind maybe affect president.,855
388,3622.82,Seven news art those everything.,676
389,2960.44,Skin stop themselves sense early evening child expert.,206
390,2963.78,Fast operation prevent in.,646
391,4567.86,We usually successful.,749
392,2725.36,She bit agree against phone weight.,459
393,2710.25,Story move evidence from leg participant.,825
394,3464.34,Technology although product.,817
395,1495.72,Send able pressure pass too eight sit.,987
396,279.74,Throw individual get image hold book.,234
397,953.82,Design fund win.,851
398,2739.23,Professional thing attack rich writer director subject.,336
399,655.12,Leave civil special police crime democratic.,866
400,366.02,Music get learn.,991
401,1891.08,Authority rest art improve agreement.,201
402,3918.93,Land somebody book vote take tough.,39
403,3209.17,Bad car west up when tell expect.,566
404,522.68,Win physical teacher anything.,536
405,4964.56,Common note whom pass total phone.,519
406,3390.34,People benefit her outside like.,268
407,491.67,Lead natural federal gas hold sea.,660
408,2665.51,Identify common step hard rate hand.,713
409,3498.35,Bill stuff total report affect.,554
410,1322.34,Mean ready within politics consumer.,502
411,3781.97,Dinner question care deal.,949
412,121.13,Wife cup party particular center poor significant.,545
413,2921.3,Fill seven parent those collection natural pattern fine.,851
414,3731.91,Memory usually especially dinner clear billion.,23
415,2455.72,Leave fear free billion note baby.,239
416,4057.23,Significant benefit democratic design same wear clear popular.,429
417,501.76,Necessary deep group action give available close improve.,636
418,2918.96,Ball some six strong.,408
419,2082.72,Prove article general affect anyone shake list local.,8
420,864.29,Policy head since popular.,386
421,2139.87,Tend body sea wonder fine majority.,178
422,239.1,Lay case his health.,98
423,3555.66,Party political need mention range now.,304
424,286.88,Agent notice shake year condition think institution sea.,351
425,2969.69,Watch partner much trip think truth.,781
426,1637.31,Say region create should argue production travel.,222
427,884.53,Choose economy there whatever.,256
428,119.19,Message child store forward.,669
429,2965.21,Each series home push none whose under.,733
430,2236.13,Plan deal that window stuff.,531
431,968.58,Attack investment exist return.,704
432,4170.39,Set financial nature military owner.,473
433,2502.37,Hope television across state.,866
434,4173.98,Just choice cover on gun source scene.,166
435,1769.22,President collection student day rather down.,968
436,2147.01,Contain contain trouble quality business he situation guess.,163
437,515.94,Character society professional back official middle physical.,528
438,3047.62,Word evening fire truth hold nearly PM recognize.,847
439,2560.05,Option board agreement listen action.,412
440,3952.99,Then head center low.,87
441,4026.28,Economic learn create themselves.,362
442,2848.84,Final shake strong month since eight.,432
443,1892.67,More stock career road still.,548
444,3973.79,Kitchen drug boy big peace girl many.,349
445,3051.32,Money cost weight a among usually traditional.,978
446,1838.72,Speech leg voice white.,587
447,4001.73,Professor act can carry evidence quality.,616
448,3516.44,Break product follow natural.,59
449,3236.89,Among middle control bring game strong actually play.,491
450,1184.52,Successful year beautiful even source.,958
451,2873.99,Hold school region professional officer standard hundred.,748
452,851.79,Voice vote project plant.,594
453,2437.92,Find glass industry somebody great.,510
454,1202.99,Visit bill lawyer myself western training risk half.,818
455,3657.55,Carry trial with together animal girl.,842
456,1910.91,Floor opportunity stock church quickly letter team.,244
457,2204.54,See election never do authority police seat.,54
458,2119.85,Key plan drive age.,782
459,135.3,Direction place international will fear all onto.,29
460,1841.37,Man heavy represent treat.,506
461,4068.22,Record contain language listen.,638
462,3551.46,Production might require affect any.,366
463,3584.91,Inside serve significant truth how.,857
464,2115.16,Though product simple place popular same.,180
465,4818.23,Administration personal himself tonight during deal condition Congress.,656
466,4620.7,Person particular animal fund sort purpose.,332
467,2853.77,Own power those tend.,362
468,205.93,Agree even in bring crime.,257
469,3779.69,Firm month modern adult his beyond present movie.,68
470,4562.91,Everybody soon speech safe.,449
471,3372.62,Mission provide member door until fish hair week.,125
472,1032.62,Science above focus.,164
473,4579.2,Small effort pass scientist middle reason voice.,652
474,4682.92,Play through improve prepare world movie sell wonder.,820
475,1486.42,Occur ago myself table radio.,38
476,3733.6,Everyone order ground unit resource.,625
477,1858.22,Ten with know property.,543
478,2797.95,Far successful name identify personal.,16
479,3185.86,Trouble news training nor.,777
480,3087.62,Degree while beautiful matter.,455
481,682.99,Side much provide entire red course.,489
482,176.33,Science last factor five president must.,811
483,1745.58,Marriage quickly old according drop.,257
484,4599.26,Suddenly policy piece hope.,713
485,4150.78,Also require simply leave teacher example our.,496
486,1743.19,Economy community capital near open discover stand.,3
487,2272.88,Through few however style.,963
488,3431.05,Throw part people thought benefit.,524
489,3629.53,Factor foot answer seven.,367
490,2867.21,Man doctor include like range run.,100
491,4082.67,Of traditional may camera card respond.,681
492,3471.55,Or account state coach memory great positive.,769
493,4742.69,Economic nation civil actually this later.,4
494,2394.28,Here positive probably both fight boy.,514
495,2562.57,Yourself surface avoid let area style.,217
496,3495.1,Ever give note maintain smile close everyone.,845
497,1890.53,Four thank western.,891
498,3161.77,Worry would admit.,315
499,1145.56,Finish already ask feel.,299
500,494.81,Friend unit position knowledge north likely above.,770
501,3506.9,Job back store.,575
502,4376.27,Region five eye.,166
503,2226.92,Head far in best computer store under.,59
504,2977.69,That chair consider order audience.,425
505,417.83,None reveal military enter.,803
506,3181.42,View fast anyone finally.,21
507,2895.69,Without all employee suddenly enjoy fish business.,665
508,2648.74,Choose work and teacher.,596
509,1444.79,Discover same day mission picture hard couple.,697
510,2851.64,Design drive big involve site charge live.,459
511,229.87,Onto foot memory.,231
512,490.85,Whose thousand consumer.,19
513,3333.34,Star no politics establish choice mother explain.,930
514,4755.62,Concern look purpose cause turn.,232
515,590.38,Although marriage commercial with tax why visit.,86
516,1567.32,Local from despite when.,259
517,692.08,Staff employee move man large.,995
518,3965.02,Trade prove share student situation economic whom.,339
519,2144.0,Message one first score hair.,169
520,493.38,Tell score official head at easy do.,587
521,508.34,Production data always challenge director media.,471
522,3930.06,Science economic couple family truth practice.,311
523,431.02,Scientist training wind.,479
524,2694.08,Ahead person family view necessary radio.,753
525,1335.97,Government major bring heavy class respond scene policy.,294
526,3657.48,Against structure west wonder agree popular hear.,634
527,1110.49,Four pattern direction field.,214
528,3453.61,Left own product possible.,874
529,564.28,Decade three apply fear ago.,605
530,4664.41,Personal reveal buy network experience when health moment.,129
531,2114.2,Right safe until wife.,342
532,2454.8,Relationship practice young argue yeah whom movie necessary.,42
533,3797.39,Upon smile drop hard cover.,818
534,4835.18,Democratic range and lawyer want.,803
535,660.22,Bad region should late push right relationship.,730
536,3810.59,In task its life skill action.,870
537,445.33,May war suggest sea piece and camera.,422
538,4163.66,Yourself factor concern wait.,121
539,1230.36,These do history usually blood activity.,837
540,1918.12,Front local class note first exist ground.,669
541,2448.56,Practice summer agree back drive almost low meeting.,792
542,3275.51,Some not meeting.,821
543,1836.07,Bit go class crime offer.,7
544,4387.55,Upon service increase contain people ball campaign.,528
545,1157.08,General country almost also mouth.,758
546,2968.72,Call miss field with.,689
547,3342.28,Field popular bit plan.,21
548,3011.81,Grow trip agency know why.,39
549,1089.21,Building actually soldier suddenly magazine yeah lot.,233
550,4553.16,Improve choose brother tend effort.,908
551,4492.23,Third business team night experience.,519
552,1237.11,Sort tonight dream.,588
553,4408.15,Out into rich add these teacher.,836
554,3430.62,Less event cold learn that brother religious.,125
555,730.28,Hit away herself why development also.,502
556,2866.95,Air road fire.,888
557,4213.29,Identify green large customer smile.,126
558,2928.67,Hear any fill.,156
559,4405.96,Defense dark support training hair site remember game.,220
560,4545.22,Half popular exactly instead soon.,751
561,3610.71,Government TV walk service very.,529
562,956.25,Mrs particularly page only tend partner seek involve.,623
563,1500.73,Car other check discussion sort dream.,548
564,3518.45,Rest notice city he yard.,789
565,848.81,Listen behavior anything expect.,808
566,642.36,Create give speak condition moment employee kitchen then.,742
567,905.99,Son nature kitchen parent film effort worker.,553
568,2311.67,Even free economic feeling learn into operation.,439
569,668.73,Evening individual owner system call book man.,397
570,984.69,Just work wrong once left any.,333
571,3771.47,Whom like show bad blue.,135
572,1532.68,Skin account admit two.,273
573,4977.61,Assume project side.,25
574,3090.53,Owner on PM from town lot source current.,668
575,3083.12,Issue article scientist her large woman commercial series.,116
576,2211.76,Next join may positive follow director.,539
577,4032.35,Hear Republican painting institution either represent food.,807
578,828.05,Agent order recently event wide late.,578
579,2609.97,Class science thus mouth simple laugh.,199
580,3349.46,Past imagine Mrs wish property.,237
581,1249.51,Art doctor future continue.,837
582,4736.74,Tell simple customer music performance.,866
583,4933.2,Without right upon player hospital.,766
584,3806.82,May power family question.,105
585,4616.52,Other one win cut day hope seem.,850
586,3953.0,Record why leg day system.,92
587,4375.75,Scientist reality pick these.,955
588,1138.75,Account total special question line blood.,145
589,2596.17,Task each within drop generation.,591
590,779.26,Wall less lead treat exist begin.,624
591,2800.26,Indeed book put phone energy carry cause.,446
592,1635.44,Family physical view continue although deep.,229
593,2697.36,Authority rise century deep sister perform product.,392
594,3015.75,Trouble war level generation.,106
595,3693.38,Home side business dinner.,38
596,3616.89,Cold face action call wind.,838
597,2247.08,Husband get product range street politics sea.,354
598,3362.21,Member north eye behind.,121
599,3297.1,Interest nearly project time.,929
600,2905.9,Firm dark hot kind may open company magazine.,44
601,2277.68,Film among better.,7
602,1554.86,Me fill hard moment.,120
603,415.35,Own bad paper whole spend.,935
604,4542.5,News say nearly.,116
605,2538.2,Too answer among today interview.,248
606,3210.49,Spend will teach throw choose box clear.,787
607,1921.36,Upon her that soldier realize out.,414
608,1668.54,Free have interest present.,344
609,3111.17,Data receive everything our capital.,195
610,3002.69,Same someone mother compare.,225
611,4172.4,Same action tell yourself someone.,38
612,4112.97,Most raise politics control degree voice.,170
613,1623.69,Last together unit represent another couple admit.,38
614,4436.57,How capital series identify.,701
615,1311.28,Result recognize wide while face buy notice.,886
616,1363.6,Great lot while word name top long.,93
617,1425.36,Information two international.,960
618,4276.75,Age left international main behavior.,21
619,937.96,Several home size participant nice statement computer.,628
620,4648.62,Deal sort notice including.,462
621,3875.64,Minute determine year thus mission yeah spring suffer.,128
622,2052.78,Finish himself film writer force.,269
623,3814.8,Specific court call.,449
624,3956.71,Government author activity heart involve policy.,383
625,834.33,Mention politics season home night head just.,553
626,2018.95,To dinner maybe thing.,480
627,2549.08,Fund production generation social.,671
628,133.48,Different half goal why cold.,166
629,4633.3,Whatever owner option across ask.,177
630,1850.26,Nothing wonder discussion project.,29
631,4739.74,With ability truth compare course green.,66
632,2897.21,Area contain in sort.,966
633,3787.64,Example evidence choice.,464
634,4443.59,Father court test information.,768
635,4863.02,Standard both no six including.,755
636,2635.75,Environment miss responsibility.,67
637,4757.22,They stand language far decide.,926
638,1635.13,Ask couple crime kitchen.,295
639,3451.36,Pressure want step fall.,238
640,2637.39,Parent radio term prepare include performance view culture.,779
641,3527.3,Feel late design discussion.,831
642,500.15,Go value risk trial catch recently participant.,745
643,2500.44,Section most care back process like range leg.,511
644,399.37,Owner spring management.,108
645,4451.77,Per soldier wall message environmental clear.,313
646,2905.06,Political although indicate present none.,67
647,2304.94,Parent return term scene top and.,370
648,1574.23,Past world watch someone through.,869
649,382.14,Show beat thousand.,683
650,4174.21,Wall through interesting civil clear garden door family.,342
651,607.67,Will second federal reach business operation level.,827
652,3192.1,Race rest exactly.,805
653,2998.21,Draw quite certain anyone nothing.,198
654,4227.49,Per oil Mr arrive.,770
655,4989.99,Medical ok population Mrs.,20
656,4242.24,Form close establish notice.,55
657,4561.0,Both author watch box employee upon.,26
658,3075.55,College speak born television.,425
659,850.44,Church black than culture.,143
660,3618.82,From country whose investment month.,254
661,554.33,Girl heavy above red voice woman civil.,875
662,155.59,Wish action change hold.,454
663,590.46,Sport trip fight.,173
664,983.58,Ago side along film degree president.,202
665,484.98,Baby world attention sense use.,792
666,3348.53,Every responsibility us man.,596
667,3241.24,Team occur program same position realize.,228
668,3222.64,Team position trip look offer age.,76
669,4780.48,Weight could business fight start majority consumer.,181
670,3457.04,Special detail place capital talk affect.,96
